          Τμήμα          | Ημερομηνία Βάρδιας | Τύπος Βάρδιας |   Τύπος Προσωπικού   |     Ειδικότητα / Ρόλος      | Αριθμός Προσωπικού 
 Αιματολογικό            | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Λογιστής                    |                  1
 Αιματολογικό            | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Αιματολογικό            | 2026-05-03         | ΝΥΧΤΑ         | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-03         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Αιματολογικό            | 2026-05-03         | ΝΥΧΤΑ         | Νοσηλευτής           | Προϊστάμενος                |                  1
 Αιματολογικό            | 2026-05-03         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Αιματολογικό            | 2026-05-03         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Αιματολογικό            | 2026-05-03         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Ταμίας                      |                  1
 Αιματολογικό            | 2026-05-04         | ΠΡΩΙ          | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-04         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  5
 Αιματολογικό            | 2026-05-04         | ΠΡΩΙ          | Νοσηλευτής           | Προϊστάμενος                |                  1
 Αιματολογικό            | 2026-05-04         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Ταμίας                      |                  1
 Αιματολογικό            | 2026-05-04         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Αιματολογικό            | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  5
 Αιματολογικό            | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  1
 Αιματολογικό            | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Αιματολογικό            | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Ταμίας                      |                  1
 Αιματολογικό            | 2026-05-04         | ΝΥΧΤΑ         | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-04         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Αιματολογικό            | 2026-05-04         | ΝΥΧΤΑ         | Νοσηλευτής           | Προϊστάμενος                |                  1
 Αιματολογικό            | 2026-05-04         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Αιματολογικό            | 2026-05-04         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Ταμίας                      |                  1
 Αιματολογικό            | 2026-05-04         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Αιματολογικό            | 2026-05-05         | ΠΡΩΙ          | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-05         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Αιματολογικό            | 2026-05-05         | ΠΡΩΙ          | Νοσηλευτής           | Προϊστάμενος                |                  1
 Αιματολογικό            | 2026-05-05         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  1
 Αιματολογικό            | 2026-05-05         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Αιματολογικό            | 2026-05-05         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Αιματολογικό            | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Αιματολογικό            | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  3
 Αιματολογικό            | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Αιματολογικό            | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Αιματολογικό            | 2026-05-05         | ΝΥΧΤΑ         | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-05         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Αιματολογικό            | 2026-05-05         | ΝΥΧΤΑ         | Νοσηλευτής           | Προϊστάμενος                |                  2
 Αιματολογικό            | 2026-05-05         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Αιματολογικό            | 2026-05-05         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Αιματολογικό            | 2026-05-06         | ΠΡΩΙ          | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-06         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  5
 Αιματολογικό            | 2026-05-06         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  1
 Αιματολογικό            | 2026-05-06         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Αιματολογικό            | 2026-05-06         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Αιματολογικό            | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Αιματολογικό            | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Αιματολογικό            | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Λογιστής                    |                  1
 Αιματολογικό            | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Αιματολογικό            | 2026-05-06         | ΝΥΧΤΑ         | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-06         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Αιματολογικό            | 2026-05-06         | ΝΥΧΤΑ         | Νοσηλευτής           | Προϊστάμενος                |                  2
 Αιματολογικό            | 2026-05-06         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Ταμίας                      |                  1
 Αιματολογικό            | 2026-05-06         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Αιματολογικό            | 2026-05-07         | ΠΡΩΙ          | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-07         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Αιματολογικό            | 2026-05-07         | ΠΡΩΙ          | Νοσηλευτής           | Προϊστάμενος                |                  1
 Αιματολογικό            | 2026-05-07         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Αιματολογικό            | 2026-05-07         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Ταμίας                      |                  1
 Αιματολογικό            | 2026-05-07         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Αιματολογικό            | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Αιματολογικό            | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  1
 Αιματολογικό            | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  1
 Αιματολογικό            | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Αιματολογικό            | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Αιματολογικό            | 2026-05-07         | ΝΥΧΤΑ         | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-07         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Αιματολογικό            | 2026-05-07         | ΝΥΧΤΑ         | Νοσηλευτής           | Προϊστάμενος                |                  2
 Αιματολογικό            | 2026-05-07         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Αιματολογικό            | 2026-05-07         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Δερματολογικό           | 2026-05-01         | ΠΡΩΙ          | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-01         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Δερματολογικό           | 2026-05-01         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Δερματολογικό           | 2026-05-01         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Ταμίας                      |                  2
 Δερματολογικό           | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Δερματολογικό           | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  3
 Δερματολογικό           | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Δερματολογικό           | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Δερματολογικό           | 2026-05-01         | ΝΥΧΤΑ         | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-01         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Δερματολογικό           | 2026-05-01         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  3
 Δερματολογικό           | 2026-05-01         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Δερματολογικό           | 2026-05-01         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Δερματολογικό           | 2026-05-02         | ΠΡΩΙ          | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-02         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  1
 Δερματολογικό           | 2026-05-02         | ΠΡΩΙ          | Νοσηλευτής           | Προϊστάμενος                |                  1
 Δερματολογικό           | 2026-05-02         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  4
 Δερματολογικό           | 2026-05-02         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Δερματολογικό           | 2026-05-02         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Δερματολογικό           | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Δερματολογικό           | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  1
 Δερματολογικό           | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Δερματολογικό           | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Δερματολογικό           | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Δερματολογικό           | 2026-05-02         | ΝΥΧΤΑ         | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-02         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  5
 Δερματολογικό           | 2026-05-02         | ΝΥΧΤΑ         | Νοσηλευτής           | Προϊστάμενος                |                  1
 Δερματολογικό           | 2026-05-02         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  2
 Δερματολογικό           | 2026-05-03         | ΠΡΩΙ          | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-03         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  6
 Δερματολογικό           | 2026-05-03         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Δερματολογικό           | 2026-05-03         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Δερματολογικό           | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Δερματολογικό           | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Δερματολογικό           | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Δερματολογικό           | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Δερματολογικό           | 2026-05-03         | ΝΥΧΤΑ         | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-03         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Δερματολογικό           | 2026-05-03         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  3
 Δερματολογικό           | 2026-05-03         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  2
 Δερματολογικό           | 2026-05-04         | ΠΡΩΙ          | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-04         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  1
 Δερματολογικό           | 2026-05-04         | ΠΡΩΙ          | Νοσηλευτής           | Προϊστάμενος                |                  1
 Δερματολογικό           | 2026-05-04         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  4
 Δερματολογικό           | 2026-05-04         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Δερματολογικό           | 2026-05-04         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Ταμίας                      |                  1
 Δερματολογικό           | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Δερματολογικό           | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  1
 Δερματολογικό           | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Δερματολογικό           | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Λογιστής                    |                  1
 Δερματολογικό           | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Δερματολογικό           | 2026-05-04         | ΝΥΧΤΑ         | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-04         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  6
 Δερματολογικό           | 2026-05-04         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Δερματολογικό           | 2026-05-04         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Δερματολογικό           | 2026-05-05         | ΠΡΩΙ          | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-05         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Δερματολογικό           | 2026-05-05         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  3
 Δερματολογικό           | 2026-05-05         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Ταμίας                      |                  2
 Δερματολογικό           | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  5
 Δερματολογικό           | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  1
 Δερματολογικό           | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Δερματολογικό           | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Δερματολογικό           | 2026-05-05         | ΝΥΧΤΑ         | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-05         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Δερματολογικό           | 2026-05-05         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Δερματολογικό           | 2026-05-05         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Δερματολογικό           | 2026-05-05         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Δερματολογικό           | 2026-05-06         | ΠΡΩΙ          | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-06         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  1
 Δερματολογικό           | 2026-05-06         | ΠΡΩΙ          | Νοσηλευτής           | Προϊστάμενος                |                  1
 Δερματολογικό           | 2026-05-06         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  4
 Δερματολογικό           | 2026-05-06         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Δερματολογικό           | 2026-05-06         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Δερματολογικό           | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Δερματολογικό           | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  1
 Δερματολογικό           | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Δερματολογικό           | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Δερματολογικό           | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Δερματολογικό           | 2026-05-06         | ΝΥΧΤΑ         | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-06         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Δερματολογικό           | 2026-05-06         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  3
 Δερματολογικό           | 2026-05-06         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Δερματολογικό           | 2026-05-06         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Δερματολογικό           | 2026-05-07         | ΠΡΩΙ          | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-07         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Δερματολογικό           | 2026-05-07         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  3
 Δερματολογικό           | 2026-05-07         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Δερματολογικό           | 2026-05-07         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Ταμίας                      |                  1
 Δερματολογικό           | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  5
 Δερματολογικό           | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  1
 Δερματολογικό           | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Λογιστής                    |                  1
 Δερματολογικό           | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Δερματολογικό           | 2026-05-07         | ΝΥΧΤΑ         | Ιατρός               | Δερματολόγος                |                  3
 Δερματολογικό           | 2026-05-07         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  6
 Δερματολογικό           | 2026-05-07         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
