          Τμήμα          | Έτος |      Ασφαλ. Φορέας       | Νοσηλείες | Συνολικά Έσοδα | Βασικό Κόστος | Χρέωση Υπέρβασης ΜΔΝ 
 Ουρολογικό              | 2025 | ΕΟΠΥΥ                    |         3 |       10700938 |       1157930 |              8673100
 Ουρολογικό              | 2025 | Ιδιωτική (Interamerican) |         5 |        9855805 |       1183070 |              7690855
 Ουρολογικό              | 2025 | Ανασφάλιστος             |         4 |        7502756 |       1311600 |              5495466
 Ουρολογικό              | 2025 | ΕΦΚΑ                     |         3 |        6716795 |        710850 |              5092225
 Ουρολογικό              | 2025 | Ιδιωτική (Εθνική)        |         3 |        1850231 |          5010 |                 3601
 Οφθαλμολογικό           | 2025 | Ανασφάλιστος             |         5 |       22816244 |       1816660 |             19890124
 Οφθαλμολογικό           | 2025 | ΕΦΚΑ                     |         2 |       11605930 |       1467000 |             10135000
 Οφθαλμολογικό           | 2025 | Ιδιωτική (Εθνική)        |         3 |       10510250 |       1238000 |              8310000
 Οφθαλμολογικό           | 2025 | ΕΟΠΥΥ                    |         5 |        4665864 |        802230 |              2061864
 Οφθαλμολογικό           | 2025 | Ιδιωτική (Interamerican) |         1 |        1505010 |          1970 |                    0
 Παθολογικό              | 2025 | Ανασφάλιστος             |        21 |       51459265 |       5877830 |             42406505
 Παθολογικό              | 2025 | Ιδιωτική (Interamerican) |        21 |       26222627 |       3859250 |             15730947
 Παθολογικό              | 2025 | Ιδιωτική (Εθνική)        |        13 |       21614440 |       2762750 |             12717570
 Παθολογικό              | 2025 | ΕΟΠΥΥ                    |        17 |       19175075 |       3688170 |             12370875
 Παθολογικό              | 2025 | ΕΦΚΑ                     |        15 |       16615115 |       1648920 |             10997305
 Παιδιατρικό             | 2025 | Ιδιωτική (Interamerican) |         5 |       20582064 |       2714560 |             17051824
 Παιδιατρικό             | 2025 | ΕΟΠΥΥ                    |         2 |        8758524 |        675990 |              8066394
 Παιδιατρικό             | 2025 | ΕΦΚΑ                     |         3 |        4795550 |        577960 |              3433030
 Παιδιατρικό             | 2025 | Ανασφάλιστος             |         8 |        2278056 |         39900 |                43446
 Παιδιατρικό             | 2025 | Ιδιωτική (Εθνική)        |         3 |          50540 |          5970 |                12650
 Πνευμονολογικό          | 2025 | ΕΟΠΥΥ                    |         5 |       10468040 |       1296540 |              8548500
 Πνευμονολογικό          | 2025 | Ανασφάλιστος             |         3 |        6907178 |       1581110 |              3938928
 Πνευμονολογικό          | 2025 | Ιδιωτική (Interamerican) |         5 |        4448954 |       1210140 |              2841814
 Πνευμονολογικό          | 2025 | ΕΦΚΑ                     |         4 |        2247368 |         30170 |               288838
 Πνευμονολογικό          | 2025 | Ιδιωτική (Εθνική)        |         3 |        1913590 |        786420 |                    0
 Χειρουργικό             | 2025 | Ανασφάλιστος             |         3 |        9682900 |        486680 |              9158000
 Χειρουργικό             | 2025 | ΕΟΠΥΥ                    |         5 |        5204836 |       1330900 |              3109786
 Χειρουργικό             | 2025 | Ιδιωτική (Interamerican) |         2 |        4367392 |        421810 |              3361582
 Χειρουργικό             | 2025 | Ιδιωτική (Εθνική)        |         2 |         946904 |         11980 |                  924
 Ψυχιατρικό              | 2025 | ΕΦΚΑ                     |         4 |        4861840 |        429500 |              2987680
 Ψυχιατρικό              | 2025 | Ιδιωτική (Εθνική)        |         2 |        1772658 |        297680 |              1470368
 Ψυχιατρικό              | 2025 | Ανασφάλιστος             |         1 |         937060 |          1670 |                 1390
 Ψυχιατρικό              | 2025 | ΕΟΠΥΥ                    |         2 |         899300 |          7570 |                    0
 Ψυχιατρικό              | 2025 | Ιδιωτική (Interamerican) |         6 |         365286 |         13900 |                 8557
 ΩΡΛ                     | 2025 | Ανασφάλιστος             |         5 |       23136804 |       1666900 |             21459334
 ΩΡΛ                     | 2025 | ΕΟΠΥΥ                    |         1 |        4466000 |        638000 |              3828000
 ΩΡΛ                     | 2025 | Ιδιωτική (Εθνική)        |         3 |        3673805 |        920390 |              2059755
 ΩΡΛ                     | 2025 | ΕΦΚΑ                     |         1 |        1394190 |        232000 |              1160000
 ΩΡΛ                     | 2025 | Ιδιωτική (Interamerican) |         4 |         482851 |         44700 |                13151
 ΜΕΘ (Εντατική)          | 2025 | ΕΟΠΥΥ                    |         4 |        3602418 |        735920 |              2203598
 ΜΕΘ (Εντατική)          | 2025 | Ιδιωτική (Interamerican) |         2 |        3297660 |        369660 |              2928000
 ΜΕΘ (Εντατική)          | 2025 | Ανασφάλιστος             |         5 |        3295107 |        976540 |               972657
 ΜΕΘ (Εντατική)          | 2025 | ΕΦΚΑ                     |         4 |         643609 |         14310 |                20379
 ΜΕΘ (Εντατική)          | 2025 | Ιδιωτική (Εθνική)        |         3 |          40940 |         38930 |                    0
 Μαιευτικό-Γυναικολογικό | 2025 | Ιδιωτική (Interamerican) |         6 |        5758898 |        888340 |              3520988
 Μαιευτικό-Γυναικολογικό | 2025 | Ιδιωτική (Εθνική)        |         6 |        4561860 |        788760 |              3358990
 Μαιευτικό-Γυναικολογικό | 2025 | ΕΦΚΑ                     |         6 |        1690770 |        606370 |                67600
 Μαιευτικό-Γυναικολογικό | 2025 | ΕΟΠΥΥ                    |         2 |         468410 |          3700 |                    0
 Μαιευτικό-Γυναικολογικό | 2025 | Ανασφάλιστος             |         1 |          62660 |          1910 |                28650
(159 rows)

